vi	V(vgs)	V(n002)	Id(M1)
Step Information: Vdd=0  (Step: 1/16)
2.800000000000000e+01	7.745852e+00	2.800000e+01	1.825414e+00
3.000000000000000e+01	7.741416e+00	3.000000e+01	1.825858e+00
Step Information: Vdd=28  (Step: 15/16)
0.000000000000000e+00	2.800000e+01	0.000000e+00	3.079735e-11
2.000000000000000e+00	2.750379e+01	2.000000e+00	4.963108e-02
4.000000000000000e+00	2.116324e+01	4.000000e+00	6.837291e-01
6.000000000000000e+00	1.313513e+01	6.000000e+00	1.486645e+00
8.000000000000000e+00	8.807156e+00	8.000000e+00	1.919282e+00
1.000000000000000e+01	8.573004e+00	1.000000e+01	1.942699e+00
1.200000000000000e+01	8.485505e+00	1.200000e+01	1.951447e+00
1.400000000000000e+01	8.438711e+00	1.400000e+01	1.954882e+00
1.600000000000000e+01	8.409618e+00	1.600000e+01	1.958802e+00
1.800000000000000e+01	8.389633e+00	1.800000e+01	1.960974e+00
2.000000000000000e+01	8.375062e+00	2.000000e+01	1.962472e+00
2.200000000000000e+01	8.363966e+00	2.200000e+01	1.963594e+00
2.400000000000000e+01	8.355231e+00	2.400000e+01	1.964473e+00
2.600000000000000e+01	8.348176e+00	2.600000e+01	1.965180e+00
2.800000000000000e+01	8.342358e+00	2.800000e+01	1.965763e+00
3.000000000000000e+01	8.337477e+00	3.000000e+01	1.966252e+00
Step Information: Vdd=30  (Step: 16/16)
0.000000000000000e+00	3.000000e+01	0.000000e+00	3.279753e-11
2.000000000000000e+00	2.950379e+01	2.000000e+00	4.963108e-02
4.000000000000000e+00	2.316324e+01	4.000000e+00	6.837291e-01
6.000000000000000e+00	1.513513e+01	6.000000e+00	1.486645e+00
8.000000000000000e+00	9.512043e+00	8.000000e+00	2.048795e+00
1.000000000000000e+01	9.204446e+00	1.000000e+01	2.079555e+00
1.200000000000000e+01	9.100482e+00	1.200000e+01	2.089944e+00
1.400000000000000e+01	9.046574e+00	1.400000e+01	2.093457e+00
1.600000000000000e+01	9.013666e+00	1.600000e+01	2.098301e+00
1.800000000000000e+01	8.991267e+00	1.800000e+01	2.100790e+00
2.000000000000000e+01	8.975047e+00	2.000000e+01	2.102467e+00
2.200000000000000e+01	8.962757e+00	2.200000e+01	2.103713e+00
2.400000000000000e+01	8.953120e+00	2.400000e+01	2.104683e+00
2.600000000000000e+01	8.945360e+00	2.600000e+01	2.105461e+00
2.800000000000000e+01	8.938976e+00	2.800000e+01	2.106101e+00
3.000000000000000e+01	8.933632e+00	3.000000e+01	2.106636e+00
