vi	V(vgs)	V(n002)	Id(M1)
Step Information: Vdd=0  (Step: 1/21)
2.000000000000000e+00	1.200000e+01	2.000000e+00	2.389483e-08
3.000000000000000e+00	1.199736e+01	3.000000e+00	2.641028e+00
4.000000000000000e+00	1.185001e+01	4.000000e+00	1.499899e+02
5.000000000000000e+00	1.153683e+01	5.000000e+00	4.631753e+02
6.000000000000000e+00	1.112140e+01	6.000000e+00	8.797979e+02
7.000000000000000e+00	1.063429e+01	7.000000e+00	1.366317e+03
8.000000000000000e+00	1.009631e+01	8.000000e+00	1.903997e+03
9.000000000000000e+00	9.520108e+00	9.000000e+00	2.480070e+03
1.000000000000000e+01	8.914487e+00	1.000000e+01	3.085620e+03
1.100000000000000e+01	8.565176e+00	1.100000e+01	3.432032e+03
1.200000000000000e+01	8.440386e+00	1.200000e+01	3.558723e+03
1.300000000000000e+01	8.366234e+00	1.300000e+01	3.633765e+03
1.400000000000000e+01	8.315166e+00	1.400000e+01	3.683246e+03
1.500000000000000e+01	8.277609e+00	1.500000e+01	3.721857e+03
1.600000000000000e+01	8.248446e+00	1.600000e+01	3.751352e+03
1.700000000000000e+01	8.225061e+00	1.700000e+01	3.774845e+03
1.800000000000000e+01	8.205843e+00	1.800000e+01	3.794109e+03
1.900000000000000e+01	8.189741e+00	1.900000e+01	3.810233e+03
2.000000000000000e+01	8.176036e+00	2.000000e+01	3.823949e+03
Step Information: Vdd=13  (Step: 14/21)
0.000000000000000e+00	1.300000e+01	0.000000e+00	1.835569e-11
1.000000000000000e+00	1.300000e+01	1.000000e+00	1.835574e-11
2.000000000000000e+00	1.300000e+01	2.000000e+00	2.410921e-08
3.000000000000000e+00	1.299734e+01	3.000000e+00	2.664059e+00
4.000000000000000e+00	1.284894e+01	4.000000e+00	1.510648e+02
5.000000000000000e+00	1.253393e+01	5.000000e+00	4.660740e+02
6.000000000000000e+00	1.211643e+01	6.000000e+00	8.847811e+02
7.000000000000000e+00	1.162714e+01	7.000000e+00	1.373471e+03
8.000000000000000e+00	1.108695e+01	8.000000e+00	1.913365e+03
9.000000000000000e+00	1.050850e+01	9.000000e+00	2.491680e+03
1.000000000000000e+01	9.900614e+00	1.000000e+01	3.099494e+03
1.100000000000000e+01	9.362638e+00	1.100000e+01	3.636152e+03
